"ID","subspecies","authority","code","comment","status","species","species_id","inaturalist","taxonID","notes"
12522,"Certhilauda semitorquata algida","Quickelberge, 1967",,,,"Certhilauda semitorquata",7072,17802,"https://www.inaturalist.org/taxa/697945",
12521,"Certhilauda semitorquata semitorquata","Smith, A, 1836",,,,"Certhilauda semitorquata",7072,17803,"https://www.inaturalist.org/taxa/697946",
12520,"Certhilauda semitorquata transvaalensis","Roberts, 1936",,,,"Certhilauda semitorquata",7072,17804,"https://www.inaturalist.org/taxa/697947",
12515,"Certhilauda subcoronata bradshawi","(Sharpe, 1904)",,,,"Certhilauda subcoronata",7070,17805,"https://www.inaturalist.org/taxa/697948",
12514,"Certhilauda subcoronata damarensis","(Sharpe, 1904)",,,,"Certhilauda subcoronata",7070,16046,"https://www.inaturalist.org/taxa/566722",
12517,"Certhilauda subcoronata gilli","Roberts, 1936",,,,"Certhilauda subcoronata",7070,17806,"https://www.inaturalist.org/taxa/697949",
12516,"Certhilauda subcoronata subcoronata","Smith, A, 1843",,,,"Certhilauda subcoronata",7070,17807,"https://www.inaturalist.org/taxa/697950",
5108,"Ceryle rudis insignis","Hartert, 1910",,,,"Ceryle rudis",3321,18993,"https://www.inaturalist.org/taxa/710912",
5106,"Ceryle rudis leucomelanurus","Reichenbach, 1851",,,,"Ceryle rudis",3321,19531,"https://www.inaturalist.org/taxa/717705",
5105,"Ceryle rudis rudis","(Linnaeus, 1758)",,,,"Ceryle rudis",3321,15416,"https://www.inaturalist.org/taxa/516815",
5104,"Ceryle rudis syriacus","Roselaar, 1995",,,,"Ceryle rudis",3321,,,
5107,"Ceryle rudis travancoreensis","Whistler, 1935",,,,"Ceryle rudis",3321,22177,"https://www.inaturalist.org/taxa/720788",
13443,"Cettia brunnifrons brunnifrons","(Hodgson, 1845)",,,,"Cettia brunnifrons",7448,22178,"https://www.inaturalist.org/taxa/720789",
13445,"Cettia brunnifrons umbratica","(Baker, ECS, 1924)",,,,"Cettia brunnifrons",7448,22180,"https://www.inaturalist.org/taxa/720791",
13444,"Cettia brunnifrons whistleri","(Ticehurst, 1923)",,,,"Cettia brunnifrons",7448,22181,"https://www.inaturalist.org/taxa/720792",
13447,"Cettia castaneocoronata abadiei","(Delacour & Jabouille, 1930)",,,,"Cettia castaneocoronata",7449,22182,"https://www.inaturalist.org/taxa/720793",
13446,"Cettia castaneocoronata castaneocoronata","(Burton, 1836)",,,,"Cettia castaneocoronata",7449,22183,"https://www.inaturalist.org/taxa/720794",
13448,"Cettia castaneocoronata ripleyi","(Deignan, 1951)",,,,"Cettia castaneocoronata",7449,22184,"https://www.inaturalist.org/taxa/720795",
13440,"Cettia cetti albiventris","Severtsov, 1873",,,,"Cettia cetti",7446,22185,"https://www.inaturalist.org/taxa/720796",
13438,"Cettia cetti cetti","(Temminck, 1820)",,,,"Cettia cetti",7446,22186,"https://www.inaturalist.org/taxa/720797",
13439,"Cettia cetti orientalis","Tristram, 1867",,,,"Cettia cetti",7446,22187,"https://www.inaturalist.org/taxa/720798",
13441,"Cettia major major","(Moore, F, 1854)",,,,"Cettia major",7447,22188,"https://www.inaturalist.org/taxa/720799",
13442,"Cettia major vafra","(Koelz, 1954)",,,,"Cettia major",7447,22189,"https://www.inaturalist.org/taxa/720800",
3075,"Ceuthmochares aereus aereus","(Vieillot, 1817)",,,,"Ceuthmochares aereus",2337,22190,"https://www.inaturalist.org/taxa/720801",
3074,"Ceuthmochares aereus flavirostris","(Swainson, 1837)",,,,"Ceuthmochares aereus",2337,22191,"https://www.inaturalist.org/taxa/720802",
5070,"Ceyx argentatus argentatus","Tweeddale, 1877",,,,"Ceyx argentatus",3309,,,
5069,"Ceyx argentatus flumenicola","Steere, 1890","PS, SSP","See Collar 2011b, Andersen et al 2013 re proposed split of Northern Silvery Kingfisher; full analysis underway. Gender agreement. Invariable. H&M 4:338.",,"Ceyx argentatus",3309,,,
5071,"Ceyx azureus affinis","(Gray, GR, 1861)",,,,"Ceyx azureus",3310,22192,"https://www.inaturalist.org/taxa/720803",
5075,"Ceyx azureus azureus","(Latham, 1801)",,,,"Ceyx azureus",3310,22193,"https://www.inaturalist.org/taxa/720804",
5076,"Ceyx azureus diemenensis","(Gould, 1846)",,,,"Ceyx azureus",3310,22194,"https://www.inaturalist.org/taxa/720805",
5072,"Ceyx azureus lessonii","(Cassin, 1850)",,,,"Ceyx azureus",3310,22195,"https://www.inaturalist.org/taxa/720806",
5073,"Ceyx azureus ochrogaster","(Reichenow, 1903)",,,,"Ceyx azureus",3310,22196,"https://www.inaturalist.org/taxa/720807",
5074,"Ceyx azureus ruficollaris","(Bankier, 1841)",,,,"Ceyx azureus",3310,22197,"https://www.inaturalist.org/taxa/720808",
5067,"Ceyx cyanopectus cyanopectus","Lafresnaye, 1840",,,,"Ceyx cyanopectus",3308,19658,"https://www.inaturalist.org/taxa/718112",
5068,"Ceyx cyanopectus nigrirostris","Bourns & Worcester, 1894",,,,"Ceyx cyanopectus",3308,19659,"https://www.inaturalist.org/taxa/718113",
5045,"Ceyx erithaca erithaca","(Linnaeus, 1758)",,,,"Ceyx erithaca",3304,13904,"https://www.inaturalist.org/taxa/202632",
